id,albufeira,lagua,bacia,distrito,concelho,freguesia,adren_bara,adrenp_bar,altmax_bac,altmed_bac,altmin_bac,alt_bac,decmed_bac,compax_lag,decmed_lag,ppmed_a_ba,pp20_bac,pp50_bac,pp90_bac,escma_bac,esc20_bac,esc50_bac,esc90_bac,m,p,longdd,latdd,ano_ifunc,obra,projecto,tipo_barra,alt_barrag,alt_terren,dcoroament,ccoroament,lcoroament,npa,nmc,nme,cc_nmc,cc_npa,supinundnp,tresid,coeficreg,poa,rhidro_cod,escadaspei,aespanha,observacoe
190,Almourol (prevista),RIO TEJO,TEJO,SANTARÉM,VILA NOVA DA BARQUINHA,PRAIA DO RIBATEJO,67483.64,1979.06,676,191,6,0,8.9,84.7,0.4,947,0,0,0,0,0,0,0,178436,277148,-8.383667236,39.462164211,0,,,Gravidade de betão,0,22,0,0,0,31,33.3,0,0,0,1800,0,0,,,N,N,
191,Alqueva,RIO GUADIANA,GUADIANA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),55289,53912.39,1580,562,74,0,6.4,748.3,0.1,593,0,0,0,0,0,0,0,255866,136892,-7.495338717,38.197294284,2002,EDIA,,Abóboda,96,0,458,154,7,152,152.8,130,1.2,2,25000,0,0,,24M/07A,,S,
10,Alto Ceira,RIO CEIRA,MONDEGO,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,24.04,24.05,1403,997,653,0,35.7,10.5,5.5,1415,0,0,0,0,0,0,0,224430,357948,-7.84622942,40.189794344,1949,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,SIR WILLIAM HALCROW,Abóboda,33.5,0,85,666.9,0,665.4,666.5,665,0,1.5,110.8,90,0,,12J/01AE,N,N,Esta barragem faz parte do complexo hidroeléctrico de Sta. Luzia.
38,Alto Cávado,RIO CÁVADO,CÁVADO/RIBEIRAS COSTEIRAS,VILA REAL,MONTALEGRE,SEZELHE,99.15,99.16,1515,1062,881,0,14.2,21.6,2.7,1724,0,0,0,0,0,0,0,221230,537069,-7.877669118,41.802763462,1964,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,HIDRO-ELÉCTRICA DO CÁVADO,Gravidade de betão,29,26,220,906.5,4.74,901.5,905,0,1.5,5,50,0,0,,03J/02AE,N,S,
83,Alto Lindoso,RIO LIMA,LIMA,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,1510.93,1510.94,1516,802,275,0,14.8,81.5,1.1,2520,0,0,0,0,0,0,0,194223,544754,-8.202710311,41.872214166,1992,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,"ELECTRICIDADE DE PORTUGAL, S.A.",Arco Abóboda,110,0,297,339,0,338,339,280,0,1,1072,0,0,,02H/01A,N,S,
39,Alto Rabagão,RIO RABAGÃO,CÁVADO/RIBEIRAS COSTEIRAS,VILA REAL,MONTALEGRE,VIADE DE BAIXO,103.12,103.12,1271,952,800,0,10.9,18.6,1.7,1637,0,0,0,0,0,0,0,223220,529866,-7.854005065,41.737857863,1964,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,HIDRO-ELÉCTRICA DO CÁVADO,Abóboda,94,0,1970,880,0,880,880.1,829,0,0,2212,0,0,,03J/03A,N,N,
123,Alto Tâmega (prevista),RIO TÂMEGA,DOURO,VILA REAL,RIBEIRA DE PENA,CANEDO,1546.55,506.65,1191,625,243,0,16.6,42.2,1.6,1072,0,0,0,0,0,0,0,233463,511632,-7.731899979,41.573328082,0,,,Arco Abóboda,93,0,0,0,0,312,313,297.5,0,0,0,0,0,,,,N,
193,Alvarenga,RIO PAIVA,DOURO,AVEIRO,AROUCA,ALVARENGA,647.88,359.71,1360,688,165,0,27.1,54.7,1.6,1934,0,0,0,0,0,0,0,195869,441972,-8.182173381,40.946789573,0,,,Arco Abóboda,0,205,0,0,0,283,284,230,0,0,0,0,0,,,,N,
59,Alvito,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,SADO,BEJA,CUBA,VILA ALVA,210.77,188.97,396,245,169,0,4.6,23.1,0.7,640,0,0,0,0,0,0,0,219468,145792,-7.910600619,38.278992023,1977,INAG I.P.,DIRECÇÃO-GERAL DOS SERVIÇOS HIDRÁULICOS,Terra zonada,48.5,44,1105,201.6,10,197.5,198.55,172,3.05,4.1,1480,0,0,,24J/01A,N,N,
194,Alvito-Tejo (prevista),RIO OCREZA,TEJO,CASTELO BRANCO,PROENÇA-A-NOVA,MONTES DA SENHORA,969.2,893.66,1088,389,137,0,12.7,63.7,1,976,0,0,0,0,0,0,0,232269,307634,-7.756668221,39.736405188,0,,,Arco Abóboda,0,146,0,0,0,255,0,0,0,0,0,0,0,,,,N,
9,Andorinhas,RIO AVE,AVE/LEÇA,BRAGA,GUIMARÃES,CASTELÕES,148.3,25.18,877,400,189,0,21.5,8.7,7.3,2104,0,0,0,0,0,0,0,194738,511066,-8.19620656,41.568912247,1945,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,A STUCKY,Gravidade de betão,25,0,103.5,191.2,1.8,185.7,189.1,0,2.1,5.5,21,0,0,,04H/02AE,N,N,Esta barragem alimenta a central hidroeléctica de Senhora do Porto do aproveitamento hidroeléctrico em cascata do Rio Ave.
86,Apartadura,RIBEIRA DAS REVELADAS,TEJO,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,8.38,8.39,1019,720,592,0,17.4,5.9,6.8,947,0,0,0,0,0,0,0,264586,264952,-7.383837725,39.350177699,1993,INAG I.P.,COBA,Enrocamento com cortina a montante,46.5,44.5,284,598,8,595,595.9,568,2.05,3,48,0,0,,17M/01A,N,N,
23,Arade,RIO ARADE,ARADE,FARO,SILVES,SILVES,224.98,12.39,266,121,36,0,17.6,5.9,3.3,637,0,0,0,0,0,0,0,178422,30417,-8.376264769,37.239474177,1956,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE SILVES LAGOA E PORTIMÃO,JUNTA AUTONOMA DAS OBRAS DE HIDRÁULICA AGRICOLA,Terra zonada,50,42.5,246,65,9,61,62.5,34.5,2.5,4,182,0,0,,30G/02A,N,N,
231,Arcossó,RIBEIRA DE ARCUSSO,DOURO,VILA REAL,CHAVES,SANTO ANTÓNIO DE MONFORTE,30.87,30.87,1018,741,516,0,10.5,9.8,5,922,0,0,0,0,0,0,0,262586,535075,-7.380285133,41.782631052,1999,ASSOCIAÇÃO DE REGANTES DA VEIGA DE CHAVES,HIDROPROJECTO,Enrocamento com cortina a montante,40,0,315,540,8,537,538.25,0,1.75,3,41,0,0,,,,N,
195,Arga Baixo,RIBEIRO DE S. JOAO,MINHO/ÂNCORA,VIANA DO CASTELO,CAMINHA,ARGA DE BAIXO,10.21,10.22,818,574,433,0,12.7,5.6,4.6,2681,0,0,0,0,0,0,0,152223,542476,-8.708429787,41.850282534,0,,,Terra,0,433,0,0,0,441,0,0,0,0,0,0,0,,,,N,
